Data Engineer/Analyst,$50K-$86K (Glassdoor est.),3.3,"Vaco Technology
3.3","Charlotte, NC","Brentwood, TN",501 to 1000 employees,Consulting,Business Services,$500 million to $1 billion (USD)
Federal - Data Analyst,$54K-$75K (Glassdoor est.),-1,Accenture Contractor Jobs,"Charlotte, NC",-1,-1,-1,-1,-1
Quality Data Analyst,$54K-$75K (Glassdoor est.),3.6,"OrthoCarolina
3.6","Charlotte, NC","Charlotte, NC",501 to 1000 employees,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Data Visualization Analyst,$54K-$75K (Glassdoor est.),2.8,"American Tire Distributors
2.8","Huntersville, NC","Huntersville, NC",1001 to 5000 employees,Logistics & Supply Chain,Transportation & Logistics,$5 to $10 billion (USD)
Senior Data Analyst,$54K-$75K (Glassdoor est.),3.4,"NTT DATA Corporation
3.4","Charlotte, NC","Tokyo, Japan",10000+ employees,IT Services,Information Technology,$10+ billion (USD)
HR Data Analyst,$54K-$75K (Glassdoor est.),3.8,"Apex Systems
3.8","Charlotte, NC","Glen Allen, VA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Data Analyst/Business Analyst,$54K-$75K (Glassdoor est.),3.6,"Signature Consultants
3.6","Charlotte, NC","Fort Lauderdale, FL",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst,$54K-$75K (Glassdoor est.),3.7,"eTeam Inc.
3.7","Charlotte, NC","South Plainfield, NJ",51 to 200 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Analyst,$54K-$75K (Glassdoor est.),2,"AccessOne
2.0","Fort Mill, SC","Fort Mill, SC",1 to 50 employees,-1,-1,Less than $1 million (USD)
BI Data Analyst,$54K-$75K (Glassdoor est.),2.9,"Nesco Resource, LLC
2.9","Fort Mill, SC","Cleveland, OH",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD)
Data Analyst,$54K-$75K (Glassdoor est.),4.1,"RGP
4.1","Charlotte, NC","Irvine, CA",1001 to 5000 employees,Consulting,Business Services,$500 million to $1 billion (USD)
Enterprise Data Office Analyst IV,$54K-$75K (Glassdoor est.),3.5,"Truist
3.5","Charlotte, NC","Charlotte, NC",10000+ employees,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Analyst/ Python with Banking Experience,$54K-$75K (Glassdoor est.),2.9,"Shimento, Inc.
2.9","Charlotte, NC","Benicia, CA",1 to 50 employees,-1,-1,$1 to $5 million (USD)
Data Analyst,$54K-$75K (Glassdoor est.),-1,Parks Heating & Cooling,"Indian Trail, NC","Indian Trail, NC",51 to 200 employees,General Repair & Maintenance,"Construction, Repair & Maintenance",$10 to $25 million (USD)
Systems/Data Analyst,$54K-$75K (Glassdoor est.),3.6,"Randstad
3.6","Charlotte, NC","Atlanta, GA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst (Real Time Data Consultant Needed),$54K-$75K (Glassdoor est.),4.6,"Conch Technologies, Inc
4.6","Charlotte, NC","Memphis, TN",51 to 200 employees,Consulting,Business Services,$5 to $10 million (USD)
Data Visualization Analyst,$54K-$75K (Glassdoor est.),5,"PCR Staffing
5.0","Huntersville, NC","Charlotte, NC",1 to 50 employees,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
57072 - Market data Analyst - 100 % remote,$54K-$75K (Glassdoor est.),3.5,"Tek Leaders
3.5","Charlotte, NC","Plano, TX",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Application Programmer V/ Database Developer/ Data Analyst,$54K-$75K (Glassdoor est.),4.3,"DATA Inc.
4.3","Charlotte, NC","Montvale, NJ",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$54K-$75K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Charlotte, NC","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$54K-$75K (Glassdoor est.),-1,LiveMindz,"Charlotte, NC","Dallas, TX",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Data Standardization Analyst(s),$54K-$75K (Glassdoor est.),3.2,"London Stock Exchange Group
3.2","Charlotte, NC","London, United Kingdom",1001 to 5000 employees,Stock Exchanges,Finance,$50 to $100 million (USD)
DATA MGMT ANALYST,$54K-$75K (Glassdoor est.),4.1,"Kforce
4.1","Charlotte, NC","Tampa, FL",10000+ employees,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
"Data Quality Analyst, Financial Services",$54K-$75K (Glassdoor est.),3.4,"NTT DATA Services
3.4","Charlotte, NC","Tokyo, Japan",10000+ employees,IT Services,Information Technology,$10+ billion (USD)
Data Analyst II,$54K-$75K (Glassdoor est.),4,"Meridian Technologies
4.0","Charlotte, NC","Farmington Hills, MI",Unknown,-1,-1,Unknown / Non-Applicable
Data Governance Analyst,$54K-$75K (Glassdoor est.),3.9,"TEKsystems, Inc
3.9","Charlotte, NC","Hanover, MD",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Data Integration Analyst,$54K-$75K (Glassdoor est.),2.9,"Cardinal Innovations Healthcare
2.9","Charlotte, NC","Charlotte, NC",501 to 1000 employees,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Data Analyst with Banking Domain,$54K-$75K (Glassdoor est.),4,"CYNET SYSTEMS
4.0","Charlotte, NC","Ashburn, VA",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Financial Data Analyst - Full Time,$54K-$75K (Glassdoor est.),-1,dataBridge,"Charlotte, NC","Arden, NC",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data Analyst - Metadata Analyst,$53K-$99K (Glassdoor est.),4.1,"Collabera
4.1","Fort Mill, SC","Basking Ridge, NJ",10000+ employees,IT Services,Information Technology,$500 million to $1 billion (USD)
Business Data Analyst,$53K-$99K (Glassdoor est.),5,"PCR Staffing
5.0","Huntersville, NC","Charlotte, NC",1 to 50 employees,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
Senior Data Analyst,$53K-$99K (Glassdoor est.),3.6,"Randstad
3.6","Charlotte, NC","Atlanta, GA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Senior Business Analyst / Data Analyst,$53K-$99K (Glassdoor est.),4.1,"Kforce
4.1","Charlotte, NC","Tampa, FL",10000+ employees,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
Data Visualization Analyst - N.,$53K-$99K (Glassdoor est.),3.3,"Vaco Technology
3.3","Charlotte, NC","Brentwood, TN",501 to 1000 employees,Consulting,Business Services,$500 million to $1 billion (USD)
Application Programmer V/ Senior Data Analyst,$53K-$99K (Glassdoor est.),4.3,"DATA Inc.
4.3","Charlotte, NC","Montvale, NJ",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Trust Application Data Analyst,$53K-$99K (Glassdoor est.),2.3,"Infovisa, Inc.
2.3","Charlotte, NC","Cornelius, NC",1 to 50 employees,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
Data Analyst,$53K-$99K (Glassdoor est.),-1,,"Mooresville, NC",-1,-1,-1,-1,-1
Data Analyst 127909,$53K-$99K (Glassdoor est.),3.2,"Open Systems Technologies (NYC)
3.2","Charlotte, NC","New York, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Item Data Maintenance Analyst,$53K-$99K (Glassdoor est.),3.3,"Lowe's
3.3","Mooresville, NC","Mooresville, NC",10000+ employees,Home Centers & Hardware Stores,Retail,$10+ billion (USD)
Marketing Data Analyst - Remote,$53K-$99K (Glassdoor est.),-1,SGA Inc.,"Charlotte, NC","Bethesda, MD",1 to 50 employees,Architectural & Engineering Services,Business Services,$1 to $5 million (USD)
Technical Data Analyst,$53K-$99K (Glassdoor est.),2.8,"American Tire Distributors
2.8","Huntersville, NC","Huntersville, NC",1001 to 5000 employees,Logistics & Supply Chain,Transportation & Logistics,$5 to $10 billion (USD)
Data Analyst,$53K-$99K (Glassdoor est.),-1,Trovetechs Inc,"Charlotte, NC",-1,-1,-1,-1,-1
Data Analyst Junior,$53K-$99K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Charlotte, NC","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Senior Data Analyst,$53K-$99K (Glassdoor est.),1.8,"Driven Brands
1.8","Charlotte, NC","Charlotte, NC",1001 to 5000 employees,Automotive Parts & Accessories Stores,Retail,$2 to $5 billion (USD)
Business + Data Analyst,$53K-$99K (Glassdoor est.),4.4,"Tachyon Technologies LLC
4.4","Charlotte, NC","Irving, TX",201 to 500 employees,IT Services,Information Technology,$10 to $25 million (USD)
Data Stewardship Senior Analyst,$53K-$99K (Glassdoor est.),-1,Data Bridge Consultants,"Charlotte, NC",-1,-1,-1,-1,-1
Data Analyst [Administrative],$53K-$99K (Glassdoor est.),-1,Tax Management Assoc,"Charlotte, NC",-1,-1,-1,-1,-1
"Analyst, Product Content Data Quality",$53K-$99K (Glassdoor est.),3.3,"Lowe's
3.3","Mooresville, NC","Mooresville, NC",10000+ employees,Home Centers & Hardware Stores,Retail,$10+ billion (USD)
"QA Analyst Big Data/ETL - Charlotte, NC (W2 ONLY)",$53K-$99K (Glassdoor est.),4.1,"Canvas InfoTech Inc.
4.1","Charlotte, NC","Fremont, CA",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Stewardship Senior Analyst,$53K-$99K (Glassdoor est.),-1,dataBridge,"Charlotte, NC","Arden, NC",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Big data analyst,$53K-$99K (Glassdoor est.),-1,Data Bridge Consultants,"Charlotte, NC",-1,-1,-1,-1,-1
Reporting /Data Analyst,$53K-$99K (Glassdoor est.),3.8,"PruTech Solutions, Inc.
3.8","Charlotte, NC","Iselin, NJ",201 to 500 employees,IT Services,Information Technology,$25 to $50 million (USD)
Application Architect V/ Data Analyst,$53K-$99K (Glassdoor est.),4.3,"DATA Inc.
4.3","Charlotte, NC","Montvale, NJ",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Sr. Data Technology Analyst,$53K-$99K (Glassdoor est.),3.7,"Bank of America
3.7","Charlotte, NC","Charlotte, NC",10000+ employees,Banks & Credit Unions,Finance,$10+ billion (USD)
"Data Optimization Analyst (Position In Hickory, NC)",$53K-$99K (Glassdoor est.),3.7,"Transportation Insight
3.7","Charlotte, NC","Hickory, NC",51 to 200 employees,Logistics & Supply Chain,Transportation & Logistics,$500 million to $1 billion (USD)
Technology Control Analyst - AVP (Chief Data Office),$40K-$74K (Glassdoor est.),3.1,"MUFG
3.1","Charlotte, NC","Tokyo, Japan",10000+ employees,Banks & Credit Unions,Finance,$10+ billion (USD)
DIGITAL DATA/INSIGHTS ANALYST,$40K-$74K (Glassdoor est.),3,"Midan Marketing
3.0","Mooresville, NC","Chicago, IL",1 to 50 employees,Advertising & Marketing,Business Services,$1 to $5 million (USD)
Big data analyst,$40K-$74K (Glassdoor est.),-1,dataBridge,"Charlotte, NC","Arden, NC",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data Mgmt Analyst w/Traded Products,$40K-$74K (Glassdoor est.),3.6,"Signature Consultants
3.6","Charlotte, NC","Fort Lauderdale, FL",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Governance Business Information Analyst,$40K-$74K (Glassdoor est.),3.8,"Brighthouse Financial
3.8","Charlotte, NC","Charlotte, NC",1001 to 5000 employees,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Analyst with Security Clearance,$40K-$74K (Glassdoor est.),3.6,"Accenture Federal Services
3.6","Charlotte, NC","Fairfax, VA",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
"Data Analyst, Data Activation",$40K-$74K (Glassdoor est.),3.3,"Lowe's
3.3","Mooresville, NC","Mooresville, NC",10000+ employees,Home Centers & Hardware Stores,Retail,$10+ billion (USD)
QA Analyst with MongoDB / Big Data,$40K-$74K (Glassdoor est.),3.8,"PruTech Solutions, Inc.
3.8","Charlotte, NC","Iselin, NJ",201 to 500 employees,IT Services,Information Technology,$25 to $50 million (USD)
"Sr. Analyst, Product Content Data Quality",$40K-$74K (Glassdoor est.),3.3,"Lowe's
3.3","Mooresville, NC","Mooresville, NC",10000+ employees,Home Centers & Hardware Stores,Retail,$10+ billion (USD)
Data Visualization Analyst,$57K-$104K (Glassdoor est.),4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
Digital Marketing & ECommerce Data Analyst,$57K-$104K (Glassdoor est.),3.6,"Vionic Group
3.6","San Rafael, CA","San Rafael, CA",51 to 200 employees,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD)
Senior Data Analyst,$57K-$104K (Glassdoor est.),3.9,"Life360
3.9","San Francisco, CA","San Francisco, CA",51 to 200 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$57K-$104K (Glassdoor est.),3,"NCSOFT
3.0","San Mateo, CA","Seoul, South Korea",1001 to 5000 employees,Video Games,Media,$10+ billion (USD)
Senior Data Analyst,$57K-$104K (Glassdoor est.),4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
Data Analyst,$57K-$104K (Glassdoor est.),5,"LaunchDarkly
5.0","Oakland, CA","Oakland, CA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,$57K-$104K (Glassdoor est.),3.8,"Edmodo
3.8","San Mateo, CA","San Mateo, CA",51 to 200 employees,Education Training Services,Education,$5 to $10 million (USD)
Data Analyst,$57K-$104K (Glassdoor est.),4.6,"Doximity
4.6","San Francisco, CA","San Francisco, CA",201 to 500 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Sr. Data Analyst (Marketing Department),$57K-$104K (Glassdoor est.),3.5,"Freedom Financial Network
3.5","San Mateo, CA","San Mateo, CA",1001 to 5000 employees,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD)
Immediate Need For Data Analyst,$57K-$104K (Glassdoor est.),3.3,"AppleOne
3.3","San Francisco, CA","Glendale, CA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
"Senior Analyst, Data & Analytics",$57K-$104K (Glassdoor est.),4.1,"PubNub
4.1","San Francisco, CA","San Francisco, CA",51 to 200 employees,Internet,Information Technology,$10 to $25 million (USD)
Data Analyst/Engineer,$57K-$104K (Glassdoor est.),4.1,"SigmaWay
4.1","San Francisco, CA","New Delhi, India",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Mid-Level Data Analyst,$57K-$104K (Glassdoor est.),4.8,"Giving Assistant
4.8","San Francisco, CA","San Francisco, CA",1 to 50 employees,Advertising & Marketing,Business Services,$10 to $25 million (USD)
Data Analyst,$57K-$104K (Glassdoor est.),3.7,"nWay
3.7","San Francisco, CA","San Francisco, CA",1 to 50 employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Healthcare Data Analyst,$57K-$104K (Glassdoor est.),3.6,"Perficient
3.6","San Francisco, CA","Saint Louis, MO",1001 to 5000 employees,IT Services,Information Technology,$500 million to $1 billion (USD)
Data Analyst,$57K-$104K (Glassdoor est.),3.6,"Mindstrong
3.6","San Francisco, CA","Mountain View, CA",51 to 200 employees,IT Services,Information Technology,Unknown / Non-Applicable
Product Data Analyst,$57K-$104K (Glassdoor est.),3.9,"LiveCareer
3.9","San Francisco, CA","Guaynabo, PR",501 to 1000 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$57K-$104K (Glassdoor est.),3.8,"Mondo
3.8","San Francisco, CA","New York, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst,$57K-$104K (Glassdoor est.),4,"Spin
4.0","San Francisco, CA","San Francisco, CA",501 to 1000 employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Temporary Part Time Data Analyst (Remote - North & South America),$57K-$104K (Glassdoor est.),5,"Elevate Labs
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst (Finance),$57K-$104K (Glassdoor est.),4.9,"Deliverr Inc
4.9","San Francisco, CA","San Francisco, CA",51 to 200 employees,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable
Data Analyst,$57K-$104K (Glassdoor est.),4.6,"Angaza
4.6","San Francisco, CA","San Francisco, CA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
User Acquisition Data Analyst,$57K-$104K (Glassdoor est.),3.8,"Mondo
3.8","San Francisco, CA","New York, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst,$57K-$104K (Glassdoor est.),4,"Snowflake Computing
4.0","San Mateo, CA","San Mateo, CA",1001 to 5000 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Analyst, Remote East Coast",$57K-$104K (Glassdoor est.),3.7,"CBRE
3.7","San Francisco, CA","Los Angeles, CA",10000+ employees,Real Estate,Real Estate,Unknown / Non-Applicable
Data Analyst,$57K-$104K (Glassdoor est.),4.5,"Duetto
4.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Data Analyst Chemist - Quality System Contractor,$57K-$104K (Glassdoor est.),2.3,"Rodan and Fields, LLC
2.3","San Francisco, CA","San Francisco, CA",501 to 1000 employees,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable
DATA Analyst-Remote,$99K-$178K (Glassdoor est.),-1,SGA Inc.,"San Francisco, CA","Bethesda, MD",1 to 50 employees,Architectural & Engineering Services,Business Services,$1 to $5 million (USD)
Data Analyst,$99K-$178K (Glassdoor est.),4.1,"Veem
4.1","San Francisco, CA","San Francisco, CA",51 to 200 employees,Financial Transaction Processing,Finance,$1 to $5 million (USD)
Operations Data Analyst,$99K-$178K (Glassdoor est.),4,"Coinbase
4.0","San Francisco, CA","San Francisco, CA",501 to 1000 employees,Internet,Information Technology,Unknown / Non-Applicable
Product Data Analyst,$99K-$178K (Glassdoor est.),3.6,"Trifacta
3.6","San Francisco, CA","San Francisco, CA",51 to 200 employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist/Analyst - Wilbur Labs,$99K-$178K (Glassdoor est.),5,"Wilbur Labs
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$99K-$178K (Glassdoor est.),4.4,"Hinge Health
4.4","San Francisco, CA","San Francisco, CA",201 to 500 employees,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Marketing Data Analyst,$99K-$178K (Glassdoor est.),3.3,"User Testing
3.3","San Francisco, CA","San Francisco, CA",501 to 1000 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,$99K-$178K (Glassdoor est.),-1,Pair-Tek,"San Francisco, CA",-1,-1,-1,-1,-1
Data and Reporting Analyst,$99K-$178K (Glassdoor est.),3.8,"Shorenstein Realty Services L.P.
3.8","San Francisco, CA","San Francisco, CA",201 to 500 employees,Real Estate,Real Estate,$50 to $100 million (USD)
Business Data Analyst,$99K-$178K (Glassdoor est.),3.5,"PlushCare
3.5","San Francisco, CA","San Francisco, CA",1 to 50 employees,Health Care Services & Hospitals,Health Care,Less than $1 million (USD)
Research Data Analyst,$99K-$178K (Glassdoor est.),4.1,"UCSF Medical Center
4.1","San Francisco, CA","San Francisco, CA",10000+ employees,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Data Analyst,$99K-$178K (Glassdoor est.),4.6,"Motiv Power Systems
4.6","San Francisco, CA","Foster City, CA",51 to 200 employees,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD)
Data Analyst,$99K-$178K (Glassdoor est.),4.2,"Upstart
4.2","San Mateo, CA","San Mateo, CA",201 to 500 employees,Lending,Finance,Unknown / Non-Applicable
Business Intelligence Data Modeler/Analyst,$99K-$178K (Glassdoor est.),4.3,"Credible
4.3","San Francisco, CA","San Francisco, CA",51 to 200 employees,Lending,Finance,Unknown / Non-Applicable
Data Studio Analyst,$99K-$178K (Glassdoor est.),5,"Priceonomics
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,Internet,Information Technology,Less than $1 million (USD)
Data Analyst,$99K-$178K (Glassdoor est.),-1,"Applicantz, Inc.","San Francisco, CA","Houston, TX",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Product Data Analyst,$99K-$178K (Glassdoor est.),3.7,"BOLD
3.7","San Francisco, CA","Guaynabo, PR",201 to 500 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$99K-$178K (Glassdoor est.),-1,Parsoft LLC,"San Francisco, CA","Louisville, KY",Unknown,-1,-1,Unknown / Non-Applicable
Clinical Data Analyst,$99K-$178K (Glassdoor est.),4,"Flatiron Health
4.0","San Francisco, CA","New York, NY",501 to 1000 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,$99K-$178K (Glassdoor est.),3.9,"thredUP
3.9","Oakland, CA","Oakland, CA",1001 to 5000 employees,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable
Data Analyst,$99K-$178K (Glassdoor est.),3.9,"Artech LLC
3.9","San Francisco, CA","Morristown, NJ",5001 to 10000 employees,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD)
Data Analyst,$99K-$178K (Glassdoor est.),3.6,"ICONMA
3.6","San Francisco, CA","Troy, MI",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Systems Analyst,$99K-$178K (Glassdoor est.),4.1,"UCSF Medical Center
4.1","San Francisco, CA","San Francisco, CA",10000+ employees,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Data Analyst,$99K-$178K (Glassdoor est.),4.6,"The Voleon Group
4.6","Berkeley, CA","Berkeley, CA",51 to 200 employees,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Senior Data Analyst,$99K-$178K (Glassdoor est.),3.4,"Redfin
3.4","San Francisco, CA","Seattle, WA",1001 to 5000 employees,Real Estate,Real Estate,Unknown / Non-Applicable
Data Analyst (College & Foundation Reporting),$99K-$178K (Glassdoor est.),-1,Albany Charter School Network,"Oakland, CA",-1,-1,-1,-1,-1
Senior Data Analyst,$99K-$178K (Glassdoor est.),4,"Twitter
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Internet,Information Technology,$2 to $5 billion (USD)
Research Data Analyst,$99K-$178K (Glassdoor est.),4.1,"UC San Francisco
4.1","San Francisco, CA","San Francisco, CA",10000+ employees,-1,-1,$25 to $50 million (USD)
Data Analyst - Health,$93K-$159K (Glassdoor est.),3.4,"Impaq International, Llc
3.4","Oakland, CA","Columbia, MD",201 to 500 employees,Consulting,Business Services,$50 to $100 million (USD)
Operations Data Analyst,$93K-$159K (Glassdoor est.),5,"Turn/River Capital
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable
Data Analyst,$93K-$159K (Glassdoor est.),3.9,"Diverse Lynx
3.9","San Francisco, CA","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
"Data Analyst, Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",$93K-$159K (Glassdoor est.),3.8,"EY
3.8","San Francisco, CA","London, United Kingdom",10000+ employees,Accounting,Accounting & Legal,$10+ billion (USD)
Data Analyst,$93K-$159K (Glassdoor est.),4.1,"RGP
4.1","San Francisco, CA","Irvine, CA",1001 to 5000 employees,Consulting,Business Services,$500 million to $1 billion (USD)
Business Data Analyst - Senior/Director - Work from Remote,$93K-$159K (Glassdoor est.),2.5,"Vinsari LLC
2.5","San Francisco, CA","Irving, TX",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Market Data Services Analyst,$93K-$159K (Glassdoor est.),3.2,"Evolver, Inc.
3.2","San Francisco, CA","Reston, VA",201 to 500 employees,IT Services,Information Technology,$25 to $50 million (USD)
"Financial Data Analyst, FP&A and Accounting",$93K-$159K (Glassdoor est.),3.7,"Lyft
3.7","San Francisco, CA","San Francisco, CA",5001 to 10000 employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Loan Data Analyst,$93K-$159K (Glassdoor est.),3.7,"First Republic Bank
3.7","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Banks & Credit Unions,Finance,$10+ billion (USD)
Data and Policy Analyst IV,$93K-$159K (Glassdoor est.),3.2,"Acumen
3.2","Burlingame, CA","Burlingame, CA",201 to 500 employees,Federal Agencies,Government,$10 to $25 million (USD)
DATA Analyst-Remote,$93K-$159K (Glassdoor est.),3.7,"Software Guidance & Assistance
3.7","San Francisco, CA","Tarrytown, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Business Data Analyst,$93K-$159K (Glassdoor est.),3.2,"Scale AI
3.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Analyst, Growth",$93K-$159K (Glassdoor est.),4.1,"Omada Health
4.1","San Francisco, CA","San Francisco, CA",201 to 500 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst,$93K-$159K (Glassdoor est.),3.2,"QuinStreet
3.2","San Mateo, CA","Foster City, CA",501 to 1000 employees,Advertising & Marketing,Business Services,$100 to $500 million (USD)
Data Analyst,$93K-$159K (Glassdoor est.),5,"Softova Inc
5.0","San Mateo, CA","Piscataway, NJ",1 to 50 employees,IT Services,Information Technology,$1 to $5 million (USD)
Data Analyst,$93K-$159K (Glassdoor est.),4.1,"LeadStack
4.1","Foster City, CA","San Francisco, CA",51 to 200 employees,IT Services,Information Technology,Unknown / Non-Applicable
"Senior Data Analyst, Member Services",$93K-$159K (Glassdoor est.),4.8,"Chime
4.8","San Francisco, CA","San Francisco, CA",201 to 500 employees,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Data Analyst,$93K-$159K (Glassdoor est.),4.5,"Marin City Health and Wellness Center
4.5","Marin City, CA","Marin City, CA",1 to 50 employees,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
Senior Data Analyst,$93K-$159K (Glassdoor est.),4.1,"TaskRabbit
4.1","San Francisco, CA","San Francisco, CA",201 to 500 employees,Internet,Information Technology,Unknown / Non-Applicable
Junior Data Analyst,$93K-$159K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","San Francisco, CA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Business Data Analyst,$93K-$159K (Glassdoor est.),3.9,"Diverse Lynx
3.9","San Francisco, CA","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
"Sr. Data Analyst, Twitter Service Tech",$93K-$159K (Glassdoor est.),4,"Twitter
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Internet,Information Technology,$2 to $5 billion (USD)
Data Analyst,$93K-$159K (Glassdoor est.),4.6,"Ascent
4.6","Daly City, CA","Concord, CA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
